x,y,z,vx,vy,vz,t
0,0,0,0.590511,-0.0536828,0.805242,0
2.50282,0.299452,3.09116,0.650765,0.190419,0.735014,2
4.99359,0.550084,6.19637,0.590511,-0.0536828,0.805242,4
7.57797,0.798338,9.2243,0.689393,0.166172,0.70507,6
10.1443,1.00126,12.2709,0.591315,-0.0543297,0.804609,8
12.6109,1.31388,15.3897,0.632915,0.197244,0.748674,10
15.0636,1.57813,18.524,0.588635,-0.0534126,0.806632,12
17.4049,1.31416,21.7564,0.585331,-0.0659927,0.808104,14
19.5338,1.53825,25.1219,0.47836,0.165874,0.862356,16
21.8364,1.87698,28.3611,0.65744,0.0102616,0.753437,18
17.167,1.82761,21.9037,0.46328,0.166507,0.870429,14
1.94765,-0.495837,3.44527,0.387835,-0.186232,0.902719,2
24.6099,1.42908,31.1936,0.714963,-0.201631,0.669457,20
7.13314,0.818523,9.55186,0.478721,0.175731,0.8602,6
27.7063,0.344492,33.4619,0.819234,-0.331131,0.468196,22
30.7807,-0.716136,35.771,0.714417,-0.202551,0.669762,24
2.09781,0.237637,3.38405,0.458951,0.161144,0.873726,2
33.3324,-1.23181,38.7933,0.569595,-0.0674666,0.819152,26
35.7957,-1.0066,41.9223,0.650955,0.167735,0.740353,28
38.2352,-0.823934,45.0726,0.566093,-0.065335,0.821748,30
40.5724,-1.60762,48.2083,0.594439,-0.312008,0.741143,32
43.2102,-2.37813,51.0992,0.711122,-0.0824636,0.698216,34
46.3963,-2.55075,53.4925,0.865183,-0.00709946,0.501407,36
50.0279,-2.91678,55.1008,0.936698,-0.166927,0.307786,38
3.52933,1.2421,6.96886,0.262492,0.329837,0.906811,4
53.9167,-3.33012,55.8979,0.98899,-0.0646373,0.133122,40
19.7827,0.518472,24.8584,0.596203,-0.317097,0.737558,16
57.835,-3.06663,56.5951,0.960438,0.183303,0.209664,42
61.7803,-2.62408,56.98,0.999019,0.0436523,-0.00749401,44
3.07222,-1.58053,7.11512,0.181501,-0.345122,0.920841,4
65.7446,-2.71366,57.4194,0.978406,-0.0702583,0.194386,46
69.6178,-2.46645,58.3397,0.948587,0.180679,0.259881,48
57.7673,-4.10113,56.5957,0.928373,-0.30664,0.209991,42
45.7573,-3.13128,54.0748,0.562525,-0.282041,0.777186,36
73.4851,-2.28149,59.2982,0.972829,-0.0759634,0.218708,50
77.345,-2.04721,60.2754,0.947403,0.179724,0.264815,52
61.2956,-5.82475,57.2954,0.830561,-0.538713,0.141266,44
81.0078,-0.80189,61.2461,0.877046,0.427085,0.219974,54
84.7217,0.562125,61.7516,0.964938,0.25937,0.0402659,56
88.54,1.48178,62.4469,0.934843,0.200748,0.292865,58
92.1187,2.8092,63.6047,0.848546,0.446936,0.283229,60
64.3014,-8.29232,58.1816,0.671663,-0.680967,0.291811,46
95.7052,4.08621,64.7941,0.930452,0.200197,0.306889,62
99.2455,4.72996,66.515,0.834333,0.123648,0.537215,64
102.691,4.70486,68.5248,0.876335,-0.123826,0.465516,66
3.25885,-3.06041,10.8143,-0.0759198,-0.388442,0.91834,6
105.891,4.14454,70.8384,0.722393,-0.153269,0.674282,68
108.368,3.48784,73.8948,0.519222,-0.172266,0.837098,70
110.856,3.05091,76.9815,0.708286,-0.0509825,0.704082,72
106.209,4.75785,70.4028,0.87302,0.137193,0.46799,68
2.7244,-5.04251,14.2341,-0.184392,-0.587083,0.788247,8
113.863,3.32302,79.5877,0.782992,0.175025,0.596901,74
4.26385,2.99403,10.476,0.110243,0.531126,0.84009,6
