x,y,z,vx,vy,vz,t
0,0,0,0.590511,-0.0536828,0.805242,0
2.50282,0.299452,3.09116,0.650765,0.190419,0.735014,2
4.99359,0.550084,6.19637,0.590511,-0.0536828,0.805242,4
7.57797,0.798338,9.2243,0.689393,0.166172,0.70507,6
10.1443,1.00126,12.2709,0.591315,-0.0543297,0.804609,8
12.6109,1.31388,15.3897,0.632915,0.197244,0.748674,10
15.0636,1.57813,18.524,0.588635,-0.0534126,0.806632,12
17.4049,1.31416,21.7564,0.585331,-0.0659927,0.808104,14
19.5338,1.53825,25.1219,0.47836,0.165874,0.862356,16
21.8364,1.87698,28.3611,0.65744,0.0102616,0.753437,18
24.6099,1.42908,31.1936,0.714963,-0.201631,0.669457,20
27.7063,0.344492,33.4619,0.819234,-0.331131,0.468196,22
30.7807,-0.716136,35.771,0.714417,-0.202551,0.669762,24
33.3324,-1.23181,38.7933,0.569595,-0.0674666,0.819152,26
35.7957,-1.0066,41.9223,0.650955,0.167735,0.740353,28
38.2352,-0.823934,45.0726,0.566093,-0.065335,0.821748,30
40.5724,-1.60762,48.2083,0.594439,-0.312008,0.741143,32
43.2102,-2.37813,51.0992,0.711122,-0.0824636,0.698216,34
45.7573,-3.13128,54.0748,0.562525,-0.282041,0.777186,36
47.6692,-3.94468,57.4795,0.39624,-0.129903,0.908911,38
49.114,-3.94018,61.1972,0.325592,0.119731,0.937899,40
49.8849,-3.40846,65.0744,0.0703277,0.143435,0.987158,42
49.8532,-3.2838,69.0609,-0.0786539,-0.0708095,0.994384,44
49.2554,-3.09866,73.0001,-0.211927,0.151784,0.965427,46
48.5216,-3.0251,76.92,-0.155691,-0.102569,0.982466,48
47.9121,-2.88693,80.8593,-0.147698,0.158288,0.976284,50
47.426,-1.7286,84.645,-0.0965105,0.405293,0.909078,52
47.2514,0.342575,88.0492,0.00465094,0.614013,0.789282,54
47.0147,3.10908,90.9189,-0.0897894,0.727052,0.680686,56
46.1197,5.90047,93.6237,-0.342572,0.663828,0.664813,58
45.0939,8.90537,96.0377,-0.175676,0.822177,0.541445,60
44.6491,11.9246,98.6059,-0.0516272,0.685612,0.726134,62
44.6318,14.2667,101.834,0.0385345,0.488549,0.871685,64
44.2436,16.1388,105.335,-0.218739,0.444391,0.868718,66
43.6872,17.5287,109.032,-0.0655195,0.255963,0.964464,68
42.8896,18.6132,112.786,-0.318399,0.281903,0.905071,70
41.8779,19.2926,116.584,-0.190895,0.0665579,0.979351,72
41.4695,19.1433,120.549,-0.0206129,-0.130958,0.991174,74
41.8749,18.8705,124.508,0.210656,-0.0106413,0.977502,76
42.9381,18.3362,128.315,0.312803,-0.243418,0.918097,78
44.2682,17.9019,132.05,0.346769,0.0146611,0.937836,80
45.6505,17.4135,135.759,0.340729,-0.244586,0.907789,82
47.1865,16.9554,139.412,0.419042,0.0044428,0.907956,84
48.5045,16.5733,143.157,0.244818,-0.184965,0.951763,86
49.9573,15.6512,146.755,0.466444,-0.26927,0.84257,88
52.2346,14.4287,149.793,0.656282,-0.335225,0.675957,90
55.1812,12.989,152.063,0.801396,-0.378335,0.463279,92
58.5963,11.4304,153.411,0.891896,-0.395662,0.21903,94
62.2471,9.85907,153.745,0.921614,-0.386025,-0.0401465,96
65.9317,8.32447,153.483,0.921128,-0.383587,-0.0662074,98
69.6162,6.79012,153.218,0.921128,-0.383587,-0.0662074,100
73.3007,5.25577,152.953,0.921128,-0.383587,-0.0662074,102
76.9852,3.72142,152.688,0.921128,-0.383587,-0.0662074,104
80.6697,2.18707,152.424,0.921128,-0.383587,-0.0662074,106
84.3529,0.65634,152.123,0.920773,-0.382581,-0.0762106,108
88.036,-0.873984,151.818,0.920773,-0.382581,-0.0762106,110
91.7191,-2.40431,151.513,0.920773,-0.382581,-0.0762106,112
95.4022,-3.93463,151.208,0.920773,-0.382581,-0.0762106,114
99.0853,-5.46496,150.903,0.920773,-0.382581,-0.0762106,116
102.768,-6.99528,150.599,0.920773,-0.382581,-0.0762106,118
106.452,-8.5256,150.294,0.920773,-0.382581,-0.0762106,120
109.214,-9.67335,150.065,0.920773,-0.382581,-0.0762106,121.5
